team_name,team_seed,region,r1,r2,r3,r4_original,r4_adjusted,r5,r6,r1_low,r1_high,r2_low,r2_high,r3_low,r3_high,r4_low,r4_high,r5_low,r5_high,r6_low,r6_high,confidence_tier_r1,confidence_tier_r2,confidence_tier_r3,confidence_tier_r4,confidence_tier_r5,confidence_tier_r6,e8_correction_applied,first_four_flag,near_zero_flag,seed_line_deviation_flag,e8_game_prob_implied,e8_game_prob_corrected,r4_adjusted_alt,path_dependent_flag,source_metadata
Arizona,1,West,0.980800,0.776773,0.536312,0.467759,0.348884,0.294365,0.170570,0.972017,0.989583,0.748544,0.805002,0.499100,0.573500,0.309966,0.387803,0.259900,0.328900,0.141400,0.199700,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.715035,0.650525,0.367993,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Wisconsin,5,West,0.800000,0.397169,0.112484,0.053593,0.034455,0.022506,0.008107,0.762140,0.837860,0.359620,0.434718,0.091700,0.133300,0.016240,0.052670,0.010200,0.034800,0.008100,0.008100,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,Y,0.223295,0.306306,0.038344,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Nebraska,4,South,0.872100,0.443847,0.149577,0.070713,0.046073,0.019961,0.007448,0.840113,0.904087,0.404346,0.483348,0.120900,0.178300,0.023029,0.069116,0.007600,0.032300,0.000000,0.016200,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.225745,0.308021,0.049092,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Texas Tech,5,Midwest,0.740900,0.439311,0.115005,0.047163,0.030206,0.021547,0.006061,0.703040,0.778760,0.401762,0.476860,0.094200,0.135800,0.011991,0.048421,0.009200,0.033900,0.006100,0.006100,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.160927,0.262649,0.049476,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Tennessee,6,Midwest,0.725800,0.391579,0.160959,0.060565,0.036781,0.018912,0.006061,0.687285,0.764315,0.355570,0.427588,0.136600,0.185300,0.026058,0.047504,0.010100,0.027700,0.000000,0.012300,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.112158,0.228511,0.087488,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Louisville,6,East,0.663600,0.371825,0.186226,0.059960,0.042344,0.022827,0.005035,0.625085,0.702115,0.335816,0.407834,0.161900,0.210600,0.031621,0.053068,0.014000,0.031600,0.000000,0.011300,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.110544,0.227381,0.082237,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Alabama,4,Midwest,0.852500,0.491275,0.094644,0.036899,0.022841,0.012711,0.004386,0.820513,0.884487,0.451774,0.530776,0.065900,0.123300,0.000000,0.045884,0.000400,0.025100,0.000000,0.013200,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.130475,0.241332,0.036925,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
UCLA,7,East,0.685400,0.309823,0.131746,0.036530,0.026253,0.012650,0.004196,0.646885,0.723915,0.279368,0.340278,0.112600,0.150900,0.015530,0.036977,0.006400,0.018900,0.000000,0.010400,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.070388,0.199272,0.047718,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Kentucky,7,Midwest,0.593400,0.257300,0.123778,0.018407,0.021770,0.008526,0.003190,0.554885,0.631915,0.226845,0.287755,0.104600,0.142900,0.011047,0.032494,0.002300,0.014800,0.000000,0.009400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.036974,0.175882,0.042890,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Ohio State,8,East,0.563500,0.116195,0.071355,0.032331,0.021304,0.011590,0.003052,0.523999,0.603001,0.092478,0.139912,0.053100,0.089600,0.006285,0.036324,0.000000,0.023900,0.000000,0.009300,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.212238,0.298566,0.022465,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
North Carolina,6,South,0.563500,0.247574,0.106873,0.013922,0.019147,0.004499,0.002961,0.524985,0.602015,0.211565,0.283583,0.082500,0.131200,0.008423,0.029870,0.000000,0.013300,0.000000,0.009200,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.041646,0.179152,0.028337,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Saint Mary's,7,South,0.593400,0.247574,0.162591,0.023599,0.032197,0.010798,0.002961,0.554885,0.631915,0.217119,0.278029,0.143500,0.181700,0.021474,0.042920,0.004600,0.017000,0.000000,0.009200,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.068607,0.198025,0.052867,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Iowa,9,South,0.551400,0.157539,0.093486,0.018421,0.018642,0.005808,0.002961,0.511899,0.590901,0.140309,0.174769,0.079700,0.107200,0.009859,0.027426,0.005800,0.005800,0.003000,0.003000,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.070592,0.199414,0.019369,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
BYU,6,West,0.572100,0.249661,0.146274,0.014063,0.024930,0.006153,0.002293,0.533585,0.610615,0.213652,0.285670,0.121900,0.170600,0.014206,0.035653,0.000000,0.014900,0.000000,0.008500,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.029187,0.170431,0.038784,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Texas,11,West,0.427900,0.124874,0.097491,0.012091,0.016343,0.004048,0.002047,0.389385,0.466415,0.095265,0.154483,0.078400,0.116600,0.001324,0.031363,0.004000,0.004000,0.002000,0.002000,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.025197,0.167638,0.024503,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
South Florida,11,East,0.336400,0.103274,0.040774,0.010329,0.006714,0.003534,0.001907,0.297885,0.374915,0.073665,0.132883,0.021600,0.059900,0.000000,0.021734,0.003500,0.003500,0.001900,0.001900,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.020961,0.164673,0.009242,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Clemson,8,South,0.448600,0.144454,0.087952,0.012903,0.016303,0.007363,0.001795,0.409099,0.488101,0.120737,0.168171,0.069700,0.106200,0.001283,0.031322,0.000000,0.019700,0.000000,0.008000,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.050514,0.185360,0.016805,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Texas A&M,10,South,0.406600,0.086655,0.018248,0.006027,0.002973,0.002045,0.001795,0.368085,0.445115,0.058426,0.114884,0.000000,0.036500,0.000000,0.009204,0.002000,0.002000,0.001800,0.001800,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.018465,0.162926,0.003740,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
VCU,11,South,0.436500,0.101906,0.024157,0.005603,0.003914,0.002700,0.001795,0.397985,0.475015,0.072297,0.131515,0.005000,0.043300,0.000000,0.018934,0.002700,0.002700,0.001800,0.001800,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.017188,0.162032,0.004865,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Miami,7,West,0.542700,0.249661,0.146274,0.016807,0.025493,0.006720,0.001638,0.504185,0.581215,0.219206,0.280116,0.127100,0.165400,0.014769,0.036216,0.000500,0.013000,0.000000,0.007900,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.034685,0.174279,0.041444,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Villanova,8,West,0.467500,0.145672,0.069626,0.011319,0.013234,0.004453,0.001638,0.427999,0.507001,0.121955,0.169389,0.051400,0.087800,0.000000,0.028253,0.000000,0.016800,0.000000,0.007900,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.057243,0.190070,0.014020,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Utah State,9,West,0.532500,0.174772,0.066481,0.009432,0.012213,0.004048,0.001638,0.492999,0.572001,0.157542,0.192002,0.052700,0.080200,0.003430,0.020997,0.004000,0.004000,0.001600,0.001600,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.048160,0.183712,0.012853,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Missouri,10,West,0.457300,0.072792,0.023623,0.006517,0.003771,0.003238,0.001638,0.418785,0.495815,0.044563,0.101021,0.005400,0.041800,0.000000,0.010001,0.003200,0.003200,0.001600,0.001600,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.013741,0.159619,0.004926,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Georgia,8,Midwest,0.572100,0.150129,0.080480,0.012893,0.014879,0.003875,0.001595,0.532599,0.611601,0.126412,0.173846,0.062300,0.098700,0.000000,0.029898,0.000000,0.016200,0.000000,0.007800,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.049818,0.184873,0.020765,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Santa Clara,10,Midwest,0.406600,0.069256,0.061889,0.011197,0.010272,0.003875,0.001595,0.368085,0.445115,0.041027,0.097485,0.043700,0.080100,0.004042,0.016502,0.003900,0.003900,0.001600,0.001600,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.022822,0.165975,0.017595,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
M-OH/SMU,11,Midwest,0.274200,0.019543,0.007967,0.004665,0.001249,0.003100,0.001595,0.235685,0.312715,0.000000,0.049152,0.000000,0.027100,0.000000,0.016268,0.003100,0.003100,0.001600,0.001600,LOW,LOW,LOW,LOW,LOW,LOW,Y,Y,N,N,0.009637,0.156746,0.001697,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
